Iteration,BestCost,Runtime
5,78606.0,0.41299891471862793
55,77681.0,5.811997890472412
105,77169.0,8.889001607894897
155,77406.0,11.829000234603882
205,77036.0,16.27200412750244
255,77059.0,20.49601936340332
305,77090.0,27.317979335784912
355,77202.0,29.737020015716553
405,77215.0,33.27898097038269
455,76860.0,40.576995849609375
